Ponto,Amostra,SSID1,RSSI1,SSID2,RSSI2,SSID3,RSSI3,SSID4,RSSI4,SSID5,RSSI5,SSID6,RSSI6,SSID7,RSSI7,SSID8,RSSI8,SSID9,RSSI9,SSID10,RSSI10
RP1,1,dlink-9A00,-70,CETELI_WIFI,-72,CETELI_TREINAMENTOS,-72,CETELI_P&D,-72,VISITANTE_CETELI,-73,wifi-zone-ufam-1,-73,eduroam,-74,lpmc_ft,-82,BRITO_AP,-85,IoT-zone-ufam,-87
RP1,2,dlink-9A00,-68,CETELI_WIFI,-72,VISITANTE_CETELI,-72,CETELI_TREINAMENTOS,-72,CETELI_P&D,-72,eduroam,-75,wifi-zone-ufam-1,-75,lpmc_ft,-80,BRITO_AP,-85,IoT-zone-ufam,-88
RP1,3,dlink-9A00,-67,VISITANTE_CETELI,-72,CETELI_WIFI,-72,CETELI_TREINAMENTOS,-72,CETELI_P&D,-72,eduroam,-75,wifi-zone-ufam-1,-75,lpmc_ft,-80,TPV,-86,IoT-zone-ufam,-88
RP1,4,CETELI_WIFI,-70,CETELI_P&D,-70,VISITANTE_CETELI,-71,CETELI_TREINAMENTOS,-71,eduroam,-72,wifi-zone-ufam-1,-72,dlink-9A00,-75,lpmc_ft,-83,BRITO_AP,-85,IoT-zone-ufam,-86
RP1,5,eduroam,-70,wifi-zone-ufam-1,-70,CETELI_WIFI,-75,VISITANTE_CETELI,-76,CETELI_TREINAMENTOS,-76,CETELI_P&D,-76,dlink-9A00,-79,lpmc_ft,-82,TPV,-83,IoT-zone-ufam,-89
RP1,6,CETELI_WIFI,-69,CETELI_TREINAMENTOS,-70,CETELI_P&D,-70,VISITANTE_CETELI,-71,eduroam,-73,wifi-zone-ufam-1,-73,lpmc_ft,-80,IoT-zone-ufam,-83,BRITO_AP,-86,Lab-Materiais,-88
RP1,7,dlink-9A00,-71,eduroam,-75,wifi-zone-ufam-1,-75,VISITANTE_CETELI,-76,CETELI_WIFI,-77,CETELI_TREINAMENTOS,-77,CETELI_P&D,-77,lpmc_ft,-78,IoT-zone-ufam,-86,BRITO_AP,-89
RP1,8,CETELI_P&D,-70,CETELI_WIFI,-71,VISITANTE_CETELI,-71,CETELI_TREINAMENTOS,-71,eduroam,-73,wifi-zone-ufam-1,-74,dlink-9A00,-76,IoT-zone-ufam,-85,BRITO_AP,-88,,,
RP1,9,dlink-9A00,-68,wifi-zone-ufam-1,-70,eduroam,-71,VISITANTE_CETELI,-74,CETELI_P&D,-74,CETELI_WIFI,-75,CETELI_TREINAMENTOS,-75,lpmc_ft,-80,BRITO_AP,-89,,,
RP1,10,eduroam,-71,wifi-zone-ufam-1,-71,CETELI_WIFI,-76,CETELI_TREINAMENTOS,-76,CETELI_P&D,-76,VISITANTE_CETELI,-77,dlink-9A00,-78,IoT-zone-ufam,-85,BRITO_AP,-89,,,
RP1,11,eduroam,-71,wifi-zone-ufam-1,-71,CETELI_TREINAMENTOS,-76,CETELI_P&D,-76,dlink-9A00,-76,CETELI_WIFI,-77,VISITANTE_CETELI,-77,lpmc_ft,-80,BRITO_AP,-91,S80,-91
RP1,12,eduroam,-70,wifi-zone-ufam-1,-70,dlink-9A00,-74,lpmc_ft,-79,CETELI_WIFI,-82,CETELI_P&D,-82,CETELI_TREINAMENTOS,-83,VISITANTE_CETELI,-84,Lab-Materiais,-86,TPV,-87
RP1,13,eduroam,-70,wifi-zone-ufam-1,-70,CETELI_WIFI,-73,CETELI_TREINAMENTOS,-73,CETELI_P&D,-73,VISITANTE_CETELI,-74,dlink-9A00,-75,lpmc_ft,-81,Lab-Materiais,-85,TPV,-86
RP1,14,CETELI_WIFI,-66,VISITANTE_CETELI,-66,CETELI_P&D,-66,CETELI_TREINAMENTOS,-68,eduroam,-71,wifi-zone-ufam-1,-71,dlink-9A00,-71,lpmc_ft,-79,IoT-zone-ufam,-88,,,
