Ponto,Amostra,SSID1,RSSI1,SSID2,RSSI2,SSID3,RSSI3,SSID4,RSSI4,SSID5,RSSI5,SSID6,RSSI6,SSID7,RSSI7,SSID8,RSSI8,SSID9,RSSI9,SSID10,RSSI10
TP1,1,CETELI_WIFI,-68,CETELI_P&D,-68,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,wifi-zone-ufam-1,-70,eduroam,-71,dlink-9A00,-78,TPV,-80,BRITO_AP,-81,S80,-84
TP1,2,CETELI_WIFI,-67,CETELI_TREINAMENTOS,-67,CETELI_P&D,-67,VISITANTE_CETELI,-68,eduroam,-69,wifi-zone-ufam-1,-69,TPV,-79,dlink-9A00,-79,Lab-Materiais,-82,S80,-83
TP1,3,CETELI_WIFI,-67,VISITANTE_CETELI,-68,CETELI_TREINAMENTOS,-68,dlink-9A00,-69,eduroam,-70,wifi-zone-ufam-1,-70,CETELI_P&D,-70,TPV,-78,S80,-82,Lab-Materiais,-83
TP1,4,CETELI_P&D,-67,CETELI_WIFI,-68,eduroam,-69,wifi-zone-ufam-1,-69,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,dlink-9A00,-73,TPV,-78,Lab-Materiais,-82,S80,-84
TP1,5,CETELI_WIFI,-69,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,CETELI_P&D,-69,eduroam,-70,wifi-zone-ufam-1,-70,TPV,-73,dlink-9A00,-74,lpmc_ft,-79,Lab-Materiais,-81
TP1,6,dlink-9A00,-69,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,CETELI_WIFI,-69,CETELI_P&D,-69,eduroam,-70,wifi-zone-ufam-1,-70,lpmc_ft,-78,TPV,-78,Lab-Materiais,-82
TP1,7,dlink-9A00,-69,CETELI_TREINAMENTOS,-69,CETELI_WIFI,-69,CETELI_P&D,-69,eduroam,-70,wifi-zone-ufam-1,-70,VISITANTE_CETELI,-70,TPV,-76,lpmc_ft,-78,Lab-Materiais,-82
TP1,8,CETELI_WIFI,-69,CETELI_TREINAMENTOS,-69,eduroam,-70,wifi-zone-ufam-1,-70,dlink-9A00,-70,VISITANTE_CETELI,-70,CETELI_P&D,-71,TPV,-76,lpmc_ft,-78,S80,-83
TP1,9,wifi-zone-ufam-1,-69,CETELI_WIFI,-69,eduroam,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_P&D,-70,TPV,-77,S80,-78,dlink-9A00,-79,Lab-Materiais,-82
TP1,10,dlink-9A00,-68,eduroam,-69,wifi-zone-ufam-1,-69,CETELI_WIFI,-69,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_P&D,-70,TPV,-77,lpmc_ft,-81,S80,-82
